"Code";"Product label";"Exported value in 2003";"Exported value in 2004";"Exported value in 2005";"Exported value in 2006";"Exported value in 2007";"Exported value in 2008";"Exported value in 2009";"Exported value in 2010";"Exported value in 2011";"Exported value in 2012";"Exported value in 2013";"Exported value in 2014";"Exported value in 2015";"Exported value in 2016";"Exported value in 2017";"Exported value in 2018";"Exported value in 2019";"Exported value in 2020";"Exported value in 2021";"Exported value in 2022"
"'1604";"Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs";337648;355274;409003;479008;475948;583744;600371;589963;518787;643713;679485;702827;620155;627616;675875;745686;736792;767814;724405;783834
"'0810";"Fresh strawberries, raspberries, blackberries, back, white or red currants, gooseberries and ...";17217;25331;28988;25687;27301;37231;43033;50224;98940;76015;91876;107995;151241;179371;256496;349018;504275;508835;682992;698340
"'8541";"Semiconductor devices ""e.g. diodes, transistors, semiconductor-based transducers""; photosensitive ...";597862;625091;621596;720950;695373;581411;485168;583772;607671;517622;496868;508097;404673;417007;445080;472219;454380;299335;463054;665809
"'0805";"Citrus fruit, fresh or dried";243240;252047;341778;326030;368622;416356;311957;381453;491609;358725;406741;374892;391315;361783;384559;445097;509172;524330;530065;544940
"'6206";"Women's or girls' blouses, shirts and shirt-blouses (excl. knitted or crocheted and vests)";124872;116245;96652;155767;210137;245584;195234;158647;189936;197055;224754;259916;229822;283684;310989;316627;280254;257069;373509;537197
"'1701";"Cane or beet sugar and chemically pure sucrose, in solid form";13;12;38;43;44;87;52;3797;1048;60;3372;3561;79710;172920;219269;158710;201357;286280;324410;433776
"'8536";"Electrical apparatus for switching or protecting electrical circuits, or for making connections ...";46448;51670;47002;50989;65710;79574;115526;176862;181767;184900;188372;327326;373096;450347;507163;590256;554412;529983;467071;421960
"'0303";"Frozen fish (excl. fish fillets and other fish meat of heading 0304)";37812;31297;42208;69756;67279;101589;108773;114689;102676;142315;176502;167151;184459;208283;240901;285539;246103;272852;331566;382534
"'2710";"Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing ...";90640;197851;264168;236968;338023;431907;324769;182482;547432;792295;1068131;742959;316051;192264;233224;332282;384778;131268;193731;371983
"'6203";"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches ...";449715;521158;515734;533968;570565;510552;436740;409547;400275;423622;381755;364628;320346;306366;309915;310336;300887;211161;271780;312061
"'6109";"T-shirts, singlets and other vests, knitted or crocheted";265103;286816;266913;315493;358581;288982;238612;272128;323579;281267;266472;267409;229878;266879;270700;294768;290043;210026;304347;279010
"'0709";"Other vegetables, fresh or chilled (excl. potatoes, tomatoes, alliaceous vegetables, edible ...";39789;45959;52119;60468;103223;93070;100417;98502;105764;104286;150827;142894;139583;137572;212296;224973;222955;213835;245503;270798
"'0807";"Melons, incl. watermelons, and papaws ""papayas"", fresh";14384;22080;33341;39967;56611;64907;70542;57463;57457;57497;63197;70568;77714;72782;134714;194047;159179;222399;281531;270007
"'2301";"Flours, meals and pellets, of meat or meat offal, of fish or of crustaceans, molluscs or other ...";25669;16694;35058;42140;38900;67902;91147;121969;75750;104640;110993;173072;149840;169145;152656;144949;171085;186404;181111;261382
