"Code";"Product label";"Exported value in 2003";"Exported value in 2004";"Exported value in 2005";"Exported value in 2006";"Exported value in 2007";"Exported value in 2008";"Exported value in 2009";"Exported value in 2010";"Exported value in 2011";"Exported value in 2012";"Exported value in 2013";"Exported value in 2014";"Exported value in 2015";"Exported value in 2016";"Exported value in 2017";"Exported value in 2018";"Exported value in 2019";"Exported value in 2020";"Exported value in 2021";"Exported value in 2022"
"'070820";"Fresh or chilled beans ""Vigna spp., Phaseolus spp."", shelled or unshelled";42856;66841;66892;83304;122986;120646;128024;132301;135645;95290;134687;135589;139725;144172;242595;256528;273217;239989;242388;241895
"'851220";"Electrical lighting or visual signalling equipment for motor vehicles (excl. lamps of heading ...";304;429;297;336;279;221;347;558;691;4463;11866;13237;17659;15711;22114;43763;82798;147766;190169;229066
"'630790";"Made-up articles of textile materials, incl. dress patterns, n.e.s.";609;1320;5478;8873;13489;15150;59032;86056;136699;90585;136273;200584;218640;289040;254586;228916;198428;244475;157326;222902
"'030353";"Frozen sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling ...";0;0;0;0;0;0;0;0;0;0;0;0;123048;140282;167197;222336;187029;161331;150520;216039
"'610910";"T-shirts, singlets and other vests of cotton, knitted or crocheted";184294;211680;196796;204436;197486;169013;149496;189384;235330;196418;180638;189007;160918;182613;194695;218878;220452;165778;230083;206790
"'940199";"Parts of seats, not of wood, n.e.s.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204382
"'080711";"Fresh watermelons";1881;1122;2878;1523;2848;3673;5038;2137;5530;7252;12044;22454;32068;34361;80323;126084;99367;160764;209070;202987
"'620443";"Women's or girls' dresses of synthetic fibres (excl. knitted or crocheted and petticoats)";16603;16812;12827;24023;43762;43771;54271;45583;65949;88552;99461;95464;68407;78425;77476;87559;86014;69068;127498;191760
"'070960";"Fresh or chilled fruits of the genus Capsicum or Pimenta";12299;18609;22074;21323;38713;41029;41940;52420;54248;56420;73444;77603;73254;81457;156631;151082;138057;143476;166673;185168
"'853890";"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...";68279;96253;91117;93758;99719;105242;71976;79520;119641;132011;126446;109447;81938;98794;106532;120482;134841;112668;147609;182198
"'620442";"Women's or girls' dresses of cotton (excl. knitted or crocheted and petticoats)";25044;30689;30814;59267;68020;67893;81162;79270;80406;45275;41912;39326;25451;37143;41083;49666;65096;57119;133058;170954
"'870894";"Steering wheels, steering columns and steering boxes, and parts thereof, for tractors, motor ...";8389;15634;14919;13324;785;2581;3798;7938;20051;71414;32679;34862;48292;56049;72320;89998;91349;84476;163312;167369
"'080522";"Fresh or dried clementines incl. monreales";0;0;0;0;0;0;0;0;0;0;0;0;0;0;196525;203439;247508;214540;251462;165257
"'870899";"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...";4713;5569;26502;40162;39510;73812;35743;28989;49019;26757;32382;17594;13151;10359;13886;17814;109911;180734;181694;162829
"'121292";"Locust beans ""carob"", fresh, chilled, frozen or dried, whether or not ground";0;0;0;0;0;0;0;0;0;0;0;0;32596;38475;69596;80409;98936;109784;240197;161697
"'260300";"Copper ores and concentrates";7167;7754;10629;24393;51782;43680;63094;72672;67151;89019;83321;98940;106806;89648;164090;124614;95882;117107;184477;161397
"'851713";"Smartphones for wireless networks";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160557
"'150420";"Fats and oils of fish and their fractions, whether or not refined (excl. liver oils and chemically ...";11640;18866;16256;16890;22504;36772;28848;39843;30727;48400;32960;75690;98766;78607;71636;64354;63388;87192;65296;160011
"'620342";"Men's or boys' trousers, bib and brace overalls, breeches and shorts, of cotton (excl. knitted ...";300588;342079;339329;335632;362107;340476;283504;273888;254453;312397;255648;231649;191404;174638;169308;171498;174631;125253;151981;156086
"'200570";"Olives, prepared or preserved otherwise than by vinegar or acetic acid (excl. frozen)";74722;103722;95766;93184;101941;154072;131381;142577;143775;131498;136168;165365;115454;134462;138591;159187;157937;140395;154417;148122
"'080440";"Fresh or dried avocados";1144;60;148;262;2432;3579;4188;1947;5601;3031;2616;13353;16779;16928;46161;55968;51441;107740;89444;147485
"'740400";"Waste and scrap, of copper (excl. ingots or other similar unwrought shapes, of remelted copper ...";15050;26679;40485;88244;103097;96270;91337;222024;390276;211654;167614;146077;129757;94044;127073;113671;119094;79059;140821;144207
"'160420";"Prepared or preserved fish (excl. whole or in pieces)";46037;54678;62112;65044;67521;88572;96046;83213;106300;110795;116882;118374;116027;113696;109397;121350;124756;134598;143134;123999
"'620462";"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton (excl. knitted ...";290147;333147;297733;347137;337418;313350;279526;271688;295364;278593;286186;255779;188702;202797;193181;195059;172942;113005;124681;120893
"'853710";"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...";542;2824;2757;5094;4104;4229;8434;7263;12986;34315;65208;142609;24316;27969;38997;52788;58925;69918;107997;119152
"'251110";"Natural barium sulphate ""barytes""";14667;15793;17154;27778;30205;41024;32669;51667;62895;104178;102043;137112;121924;59454;84327;89694;98526;38832;98743;116239
"'732690";"Articles of iron or steel, n.e.s. (excl. cast articles or articles of iron or steel wire)";4690;5043;6429;7815;12506;16585;14474;15372;19269;35345;25817;50923;68085;64898;63866;68034;68032;86366;146303;115016
